meas num,rssi [dBm],distance [m]
0,-93,446.68
1,-91,354.81
2,-87,223.87
3,-83,141.25
4,-87,223.87
5,-83,141.25
6,-89,281.83
7,-85,177.82
8,-83,141.25
9,-86,199.52
10,-81,112.20
11,-86,199.52
12,-87,223.87
13,-82,125.89
14,-85,177.82
15,-88,251.18
16,-84,158.48
17,-90,316.22
18,-83,141.25
19,-85,177.82
20,-85,177.82
